w,p,LL_diff,LL_diff_log
0.09,0.22,5.736647265,0.758658147
0.1,0.22,8.46161931,0.927453482
0.11,0.22,23.06803285,1.363010561
0.12,0.22,9.820134364,0.99211743
0.13,0.22,25.10804223,1.39981285
0.14,0.22,61.74516284,1.79060294
0.15,0.22,39.83473999,1.600261987
0.16,0.22,61.78222521,1.790863546
0.17,0.22,4.07531207,0.610160871
0.18,0.22,29.47741549,1.469489403
0.19,0.22,85.84353178,1.933707577
0.2,0.22,50.41431534,1.702553874
0.21,0.22,51.18918692,1.709178231
0.22,0.22,38.276006,1.582926614
0.23,0.22,66.24201016,1.821133503
0.24,0.22,277.528674,2.443307861
0.25,0.22,222.3809628,2.347097606
0.26,0.22,97.24891306,1.987884756
0.27,0.22,309.8232234,2.491113968
0.28,0.22,252.6799535,2.402570788
0.29,0.22,99.6086613,1.998297103
0.3,0.22,562.6277776,2.75022117
0.31,0.22,604.25711,2.781221769
0.32,0.22,521.1067502,2.716926699
0.33,0.22,1370.87676,3.136998414
0.34,0.22,343.7084692,2.536190234
0.35,0.22,187.1096617,2.272096214
0.36,0.22,220.4478058,2.34330578
0.37,0.22,1699.528354,3.230328414
0.38,0.22,1697.200241,3.229733085
0.39,0.22,1228.999948,3.089551865
0.4,0.22,1702.35486,3.231050095
0.41,0.22,1037.412736,3.015951575
0.42,0.22,2147.686825,3.331970953
0.43,0.22,1238.965538,3.093059227
0.44,0.22,531.8429397,2.725783398
0.45,0.22,378.2439597,2.577772001
0.46,0.22,2164.132111,3.335283769
0.47,0.22,3676.144307,3.565392551
0.48,0.22,2856.835706,3.455885265
0.49,0.22,2657.069984,3.424402993
0.5,0.22,2020.856883,3.305535558
0.51,0.22,4800.702218,3.681304768
0.52,0.22,1777.85986,3.249897525
0.53,0.22,9495.622298,3.977523432
0.54,0.22,8319.521191,3.920098332
0.55,0.22,6167.538154,3.790111845
0.56,0.22,11336.93032,4.054495477
0.57,0.22,10688.08914,4.028900067
0.58,0.22,2630.784257,3.420085234
0.59,0.22,2152.151381,3.332872816
0.6,0.22,13960.09418,4.144888348
0.61,0.22,8143.76674,3.910825326
0.62,0.22,7261.736566,3.86104049
0.63,0.22,4474.474359,3.650742024
0.64,0.22,4181.699475,3.621352818
0.65,0.22,575.5249161,2.76006413
0.66,0.22,1755.593482,3.24442396
0.67,0.22,4455.836518,3.648929248
0.68,0.22,3409.660775,3.532711173
0.69,0.22,4291.866828,3.632646238
0.7,0.22,33640.9211,4.526867878
0.71,0.22,8352.683894,3.921826046
